"word","formal","lazy","keyer","usage","hint"
"continue","k-tn-u","","","",""
"continued","k-tn-u-d","","","",""
"continuous","k-tn-u-u-s","","","",""
"contort","k-t-o-t","","","",""
"contortion","k-t-o-sh","","","",""
"contract","k-/-k","","","",""
"contradict","k-/-d-e-k","","","",""
"contradistinction","k-/-d-s2-t-sh","","","",""
"contraption","k-/-p-sh","","","",""
"contrary","k-/-r-e","","","",""
"contrast","k-/-s","","","",""
"contribute","k-/-b","","","",""
"contrite","k-/-t","","","",""
"contrition","k-/-sh","","","",""
"contrive","k-/-v","","","",""
"control","^-k-/-l","","","",""
"controversial","k-/-v-e-sh","","","",""
"controversy","k-/-v-e-s-e","","","",""
"contumacious","k-tm-a-sh","","","",""
"contumacy","k-tm-s-e","","","",""
"contumely","k-t-u-m-e","","","",""
"contused","k-t-e-u-/-t","","","",""
"conundrum","k-n-u-n","","","",""
"convection","k-v-e-k-sh","","","",""
"convene","k-v-e-n","","","",""
"convenience","k-v-e-n","","","",""
"convenient","k-v-e-n","","","",""
"convent","k-v-nt","","","",""
"convention","k-v-n-sh","","","",""
"converge","k-v-e-j","","","",""
"convergent","k-v-e-jnt","","","",""
"conversation","k-v-e-sh","","","",""
"converse","k-v-e-s","","","",""
"convey","k-v-a","","","",""
"conveyance","k-v-a-n-s","","","",""
"conveyer","k-v-a-r","","","",""
"conviction","k-v-e-k-sh","","","",""
"convince","k-v-e-n-s","","","",""
"convivial","k-v-e-v","","","",""
"convoke","k-v-k","","","",""
"convolution","k-v-o-l-sh","","","",""
"convoy","k-v-o-e","","","",""
"convulse","k-v-l-s","","","",""
"cook","k-u-k","","","",""
"cool","k-u-l","","","",""
"cooperate","k-o-o-p","","","",""
"cooperation","k-o-o-p","","","",""
"coordinate","k-o-o-tn-a-t","","","",""
"coordination","k-o-o-tn-sh","","","",""
"copartnership","k-o-p-t-n-e-/-sh","","","",""
"Copenhagen","k-o-p-n-a-g-n","","","",""
"copious","k-o-p-u-s","","","",""
"copy","k-p-e","","","",""
"copyright","k-p-e-r-i","","","",""
"cord","k-o-d","","","",""
"cordage","k-o-d-j","","","",""
"corded","k-o-td","","","",""
"cordial","k-o-j","","","",""
"cordially","k-o-j-ye","","","",""
"cordially yours","k-u","","","",""
"corduroy","k-o-d-r-o-e","","","",""
"core","k-o-r","","","",""
"corn","k-o-n","","","",""
"corner","k-o-n-e2","","","",""
"cornet","k-o-n-e-t","","","",""
"cornice","k-o-n-e-s","","","",""
"cornstarch","k-o-n-s2-t-a-ch","","","",""
"corona","k-r-o-n-a","","","",""
"coronation","k-r-o-n-sh","","","",""
"coroner","k-r-n-e2","","","",""
"coronet","k-r-o-n-e-t","","","",""
"corporal","k-r-p-r-l","","","",""
"corporate","k-r-p-r-a","","","",""
"corporation","k-r-p","","","",""
"corporeal","k-p-o-r-l","","","",""
"corps","k-o-r","","","",""
"corpulence","k-r-pl-e-n-s","","","",""
"corpuscle","k-r-p-u-s-l","","","",""
"correct","k-r","","","",""
"correction","k-r-sh","","","",""
"corrective","k-r-/-v","","","",""
"correctly","k-r-e","","","",""
"correlate","k-o-r-e-l-a","","","",""
"correlative","k-o-r-e-l","","","",""
"correspond","k-r-e-s","","","",""
"correspondence","k-r-e-s","","","",""
"correspondent","k-r-e-s-/-nt","","","",""
"corroborate","k-r-o-b","","","",""
"corrode","k-r-o-d","","","",""
"corrugate","k-o-r-u-g","","","",""
"corrupt","k-o-r-p","","","",""
"cortex","k-o-t-e-x","","","",""
"corundum","k-o-r-nt","","","",""
"coruscate","k-o-r-u-s2-k","","","",""
"coryza","k-o-r-i-s-a","","","",""
"cosiness","k-o-s2-e-n-e-s","","","",""
"cosmetic","k-o-s2-m-/-a","","","",""
"cosmopolitan","k-o-s2-m-p-o-l","","","",""
"cost","k-o-s","","","",""
"Costa Rica","k-o-s-<-r","","","",""
"costliness","k-o-s2-e-n-e-s","","","",""
"costly","k-o-s-e","","","",""
"costs","k-o-s-s","","","",""
"costume","k-o-s2-tm","","","",""
"cosy","k-o-s-e","","","",""
"cot","k-o-t","","","",""
"cotemporaneous","k-o-tm-p-r-a-n-u-s","","","",""
"cottage","k-o-t-j","","","",""
"cotton","k-o-tn","","","",""
"cough","k-o-f","","","",""
"could","k-d","","","",""
"could be done","k-d-b-tn","","","",""
"council","k-s-e-l","","","",""
"counsel","k-s-e-l","","","",""
"count","k-nt","","","",""
"counted","k-nt-d","","","",""
"countenance","k-tn-a-n-s","","","",""
"counter","^-k","","","",""
"counterbalance","k-/-b-a-l","","","",""
"counterclaim","k-/-k-l-a-m","","","",""
"counterirritant","k-/-e2-t-nt","","","",""
"countermand","k-/-m-a-n","","","",""
"counterpart","k-/-p-t","","","",""
"counterpoint","k-/-o-e","","","",""
"countess","k-nt-e-s","","","",""
"countless","k-nt-l","","","",""
"countries","k-t-s","","","",""
"country","k-t","","","",""
"countryside","k-t-s-i","","","",""
"county","k-t-e","","","",""
"coupe","k-u-p-a","","","",""
"couple","k-u-pl","","","",""
"coupon","k-p-n","","","",""
"courage","k-r-j","","","",""
"courier","k-u-r-e-r","","","",""
"course","k-r-s","","","",""
"courser","k-r-s-e-r","","","",""
"courses","k-r-ss","","","",""
"court","k-o-t","","","",""
"courted","k-o-td","","","",""
"courteous","k-e2-t-u-s","","","",""
"courtesy","k-e2-t-s-e2","","","",""
"courtliness","k-o-t-e-n-e-s","","","",""
"courtyard","k-o-t-a2-d","","","",""
"cousin","k-u-s2-n","","","",""
"covenant","k-u-v-n","","","",""
"cover","k-v","","","",""
"covered","k-v-/-t","","","",""
"coverlet","k-v-l-e","","","",""
"covert","k-v-e2-t","","","",""
"covetous","k-u-v-e-t-u-s","","","",""
"cow","k-a-u","","","",""
"coward","k-a-u-d","","","",""
"cowardice","k-a-u-d-e-s","","","",""
"cowed","k-a-u-d","","","",""
"coxswain","k-o-x-a-n","","","",""
"cranial","k-r-a-n-l","","","",""
"cranium","k-r-a-n-e-m","","","",""
"crazy","k-r-a-s-e","","","",""
"cream","k-r-e-m","","","",""
"create","k-r-ea-t","","","",""
"creature","k-r-e-t-r","","","",""
"credence","k-r-e-tn-s","","","",""
"credential","k-r-e-tn-sh","","","",""
"credible","k-r-e-d-b","","","",""
"credit","k-r-e","","","",""
"credit card","k-r-e-td-/-k","","","",""
"credit department","k-r-e-/-d","","","",""
"creditable","k-r-e-/-b","","","",""
"creditors","k-r-e-/-r-s","","","",""
"credits","k-r-e-s","","","",""
"credulity","k-r-e-d-/-l","","","",""
"credulous","k-r-e-d-l-u-s","","","",""
"creek","k-r-e-k","","","",""
"cremation","k-r-e-m-sh","","","",""
"creosote","k-r-e-s2-o-t","","","",""
"crepe","k-r-a-p","","","",""
"crescendo","k-r-e-sh-nt-o","","","",""
"crestfallen","k-r-e-s2-t-f-o-n","","","",""
"cretin","k-r-e-tn","","","",""
"cretins","k-r-e-tn-s","","","",""
"cretonne","k-r-e-tn","","","",""
"crew","k-r-u","","","",""
"cribbage","k-r-e-b-j","","","",""
"crime","k-r-i-m","","","",""
"criterion","k-r-i-t-e-r-n","","","",""
"critic","k-r-/-a","","","",""
"critical","k-r-/-ya","","","",""
"criticism","k-r-e-t-ss","","","",""
"criticize","k-r-e-t-ss","","","",""
"crochet","k-r-o-sh-a","","","",""
"crop","k-r-p","","","",""
"crosier","k-r-o-sh-e2","","","",""
"cross","k-r-o-s","","","",""
"crowd","k-r-a-u","","","",""
"crown","k-r-n","","","",""
"crowned","k-r-nt","","","",""
"crucial","k-r-sh","","","",""
"crucible","k-r-s-b","","","",""
"crucify","k-r-s2-f","","","",""
"cruel","k-r-u-l","","","",""
"crumble","k-r-m-b","","","",""
"crush","k-r-sh","","","",""
"crutch","k-r-ch","","","",""
"cry","k-r-i","","","",""
"Cuba","k-e-u-b-a","","","",""
"cube","k-e-u-b","","","",""
"cubic yard","k-a2-d","","","",""
"cue","k-e-u","","","",""
"culmination","k-l-mn-sh","","","",""
"culpable","k-l-p-b","","","",""
"cultivate","k-l-v-a-t","","","",""
"culture","k-l-t-r","","","",""
"cumulative","k-e-u-m-/-u-v","","","",""
"cup","k-u-p","","","",""
"cupidity","k-e-u-p-td-e","","","",""
"cupola","k-e-u-pl-a","","","",""
"curable","k-e-u-b","","","",""
"curate","k-e-u-r-a","","","",""
"curative","k-e-u-df","","","",""
"curator","k-e-u-r-a-/-r","","","",""
"curb","k-r-b","","","",""
"cure","k-e-u","","","",""
"curfew","k-r-f-e-u","","","",""
"curiosity","k-e-u-/-s","","","",""
"curious","k-e-u","","","",""
"curiously","k-e-u-e","","","",""
"curl","k-r-l","","","",""
"currant","k-r-a-nt","","","",""
"current","k-r-e-nt","","","",""
"curricula","k-u-r-e-k-a","","","",""
"curriculum","k-u-r-e-k","","","",""
"curse","k-u-r-s","","","",""
"cursive","k-r-s2-v","","","",""
"cursory","k-r-s-r-e","","","",""
"curtain","k-e2-tn","","","",""
"curve","k-r-v","","","",""
"cushion","k-u-sh","","","",""
"custodian","k-u-s2-td-ea-n","","","",""
"custody","k-u-s2-td-e","","","",""
"custom","k-u-s","","","",""
"customary","k-u-s-r-e","","","",""
"customer","k-u-s-r","","","",""
"cut","k-u-t","","","",""
"cutaneous","k-e-u-tn-u-s","","","",""
"cute","k-e-u-t","","","",""
"cutlet","k-u-t-l-e","","","",""
"cyclone","s2-i-k-l-o-n","","","",""
"cylinder","s-e-l-e-nt","","","",""
"cymbal","s2-e-m-bl","","","",""
"cynic","s2-e-n-e-k","","","",""
"cynicism","s2-e-n-ss","","","",""
"cynosure","s2-i-n-sh-u","","","",""
"cyst","ss2-t","","","",""
"cystoid","ss2-t-o-e","","","",""
"czarism","s-a-r-s2-m","","","",""
"Czech","ch-e-k","","","",""
"Czechoslovakia","ch-k-s-l-v","","","",""
"D.C.","d-s-e","","","",""
"daily","d-a-e","","","",""
"dainty","d-a-nt-e","","","",""
"dairy","d-a-r-e","","","",""
"damage","tm-j","","","",""
"damask","tm-a-s2-k","","","",""
"damp","d-a-m-p","","","",""
"dampener","d-a-m-p-n-e2","","","",""
"dance","d-a-n-s","","","",""
"dances","d-a-n-ss","","","",""
"dandelion","tn-d-e-l-i-n","","","",""
"dandy","tn-d-e","","","",""
"danger","tn-j-e2","","","",""
"dangerous","tn-j-u-s","","","",""
"dare","d-a2","","","",""
"dared","d-a2-d","","","",""
"dark","d-a-r-k","","","",""
"darkness","d-a-r-k-n-e-s","","","",""
"data","d-a-t-a","","","",""
"date","td","","","",""
"dated","td-/-t","","","",""
"dates","td-s","","","",""
"datum","d-a-tm","","","",""
"daughter","d-o-t-e2","","","",""
"daughter-in-law","d-o-t-e-l-o","","","",""
"daughters","d-o-t-ye2","","","",""
"daunt","d-o-nt","","","",""
"dauntless","d-o-nt-l","","","",""
"davenport","df-n-p-o-t","","","",""
"davit","d-a-v-t","","","",""
"dawn","d-o-n","","","",""
"day","d-a","","","",""
"day or two","d-a-t-u","","","",""
"day or two ago","d-a-t-u-g","","","",""
"days","d-a-s","","","",""
"days ago","d-a-s2-g","","","",""
"day's sight","d-a-s-i","","","",""
"daytime","d-a-tm","","","",""
"de facto","df-a-k-t-o","","","",""
"de jure","d-<-j","","","",""
"dead","td","","","",""
"deaden","td-n","","","",""
"deadened","td-nt","","","",""
"deadeye","td-i","","","",""
"deadfall","td-f-o","","","",""
"deadliness","td-e-n-e-s","","","",""
"deadly","td-e","","","",""
"deal","d-e2","","","",""
"deal ","d-e-l","","","",""
"dealer","d-e2-/-r","","","",""
"dealers","d-e2-/-r-s","","","",""
"dealings","d-e2-/-s","","","",""
"dean","d-e-n","","","",""
"dear","d-e2","","","",""
"dear madam","d-m","","","",""
"dear Miss","tm-e-s","","","",""
"dear Mr.","tm-r","","","",""
"dear Ms. ","tm-s","","","",""
"dear sir","d-s","","","",""
"dearer","d-e2-/-r","","","",""
"dearest","d-e2-/-s2-t","","","",""
"death","d-e-th","","","",""
"debacle","d-b-/-k","","","",""
"debate","d-b-a-t","","","",""
"debate ","d-b-a","","","",""
"debenture","d-b-e-nt-r","","","",""
"debilitate","d-b-e-l-e-t-a","","","",""
"debility","d-/-b","","","",""
"debit","d-b-t","","","",""
"debt","td","","","",""
"debtor","td-e2","","","",""
"debts","td-s","","","",""
"decadance","d-e-k-a-tn-s","","","",""
"decalcomania","d-e-k-a-l-k","","","",""
"decanter","d-e-k-t-e2","","","",""
"decease","d-s-e-s","","","",""
"decedent","d-s2-e-tn","","","",""
"deceive","d-s-e","","","",""
"deceives","d-s2-e-s2","","","",""
"December","d-e-s","","","",""
"decent","d-s2-e-nt","","","",""
"deci-","d-e-s","","","",""
"decide","d-s2-i","","","",""
"decidedly","d-s-i-/-t-e","","","",""
"decimal","d-s2-e-m-l","","","",""
"decipher","d-s2-i-f","","","",""
"decision","d-s-e-sh","","","",""
"declaim","d-e-/-m","","","",""
"declaration","d-e-/-r-a-sh","","","",""
"declare","d-e-/-r","","","",""
"declension","d-e-/-n-sh","","","",""
"declination","d-e-/-n-sh","","","",""
"decline","d-e-/-n","","","",""
"declined","d-e-/-nt","","","",""
"decoction","d-e-k-k-sh","","","",""
"decompose","d-e-k-p-o","","","",""
"decorate","d-e-k-r-a","","","",""
"decorum","d-e-k-o-r-m","","","",""
"decrease","d-e-k-r-e-s","","","",""
"decree","d-e-k-r-e","","","",""
"decrepitude","d-e-k-r-e-p-t-u","","","",""
"dedicate","td-e-k-a-t","","","",""
"deduce","td-u-s","","","",""
"deducible","td-u-s-b","","","",""
"deduct","td-u-k","","","",""
"deducted","td-u-k-t","","","",""
"deduction","td-u-k-sh","","","",""
"deed","d-e-d","","","",""
"deeds","d-e-d-s","","","",""
"deem","d-e-m","","","",""
"deep","d-e-p","","","",""
"deeply","d-e-p-e","","","",""
"deer","d-e2","","","",""
"deface","df-a-s","","","",""
"defalcate","df-a-l-k","","","",""
"default","df-o-t","","","",""
"defeat","df-e-t","","","",""
"defect","df-e-k","","","",""
"defect ","df-k","","","",""
"defective","df-e-k-v","","","",""
"defend","df-nt","","","",""
"defendant","df-t","","","",""
"defense","df-e-n-s","","","",""
"defer","dfr","","","",""
"deferential","dfr-e-n-sh","","","",""
"defeseless","df-e-n-s-l","","","",""
"defiance","df-i-n-s","","","",""
"defiant","df-i-nt","","","",""
"deficient","df-e-sh-t","","","",""
"deficit","df-e-s2-e-t","","","",""
"defied","df-i-d","","","",""
"define","df-i-n","","","",""
"defined","df-i-nt","","","",""
"defines","df-i-n-s","","","",""
"definite","df-n","","","",""
"definition","df-n-sh","","","",""
"definitive","df-n-e-df","","","",""
"deflate","dfl-a","","","",""
"deflect","d-fl","","","",""
"deform","df-m","","","",""
"defunct","df-nk","","","",""
"defy","df-i","","","",""
"degenerate","d-j-e-n-r-a","","","",""
"degradation","d-e-g-r-a-d-sh","","","",""
"degrade","d-e-g-r-a","","","",""
"degree","d-e-g","","","",""
"dehydrate","d-i-d-r-a","","","",""
"deify","d-e-f","","","",""
"deism","d-e-s2-m","","","",""
"deist","d-e-s2-t","","","",""
"deity","d-e-t-e","","","",""
"deject","d-j-k","","","",""
"dejectedly","d-j-k-t-e","","","",""
"deka-","d-e-k","","","",""
"Delaware","d-e","","","",""
"delay","d-l-a","","","",""
"delectation","d-l-e-k-t-sh","","","",""
"delegate","d-e-l","","","",""
"delegates","d-e-l-s","","","",""
"delegation","d-e-l-sh","","","",""
"deleterious","d-l-e-t-e-r","","","",""
"deletion","d-l-e-sh","","","",""
"deliberate","d-l-e-b","","","",""
"delicate","d-e-l-e-k","","","",""
"delicatessen","d-e-l-e-k-e-s2-n","","","",""
"delicious","d-l-e-sh","","","",""
"delight","d-l-i","","","",""
"delightful","d-l-i-f","","","",""
"delinquent","d-l-e-nk","","","",""
"delirium","d-l-e-r-m","","","",""
"deliver","d-l","","","",""
"deliverance","d-l-n-s","","","",""
"delivery","d-l","","","",""
"dell","d-e-l","","","",""
"deluge","d-e-l-j","","","",""
"delusion","d-l-sh","","","",""
"demagogue","tm-a-g","","","",""
"demand","tm-a-n","","","",""
"demarcation","tm-r-k-a-sh","","","",""
"demeanor","tm-e-n-e2","","","",""
"dementia","d-e-mn-sh-ea","","","",""
"demerit","tm-e2-t","","","",""
"demise","tm-i-s","","","",""
"demobilize","tm-o-bl-i-s","","","",""
"democracy","tm-k-s-e","","","",""
"democrat","tm-k","","","",""
"democrat ","tm-r","","","",""
"democratic","tm-k","","","",""
"demolish","tm-o-l-sh","","","",""
"demolition","tm-o-l-e-sh","","","",""
"demonitize","d-e-mn-e-t-i-s","","","",""
"demonstrate","tm-o-n-s","","","",""
"demonstration","tm-o-n-s-sh","","","",""
"demur","tm-u-r","","","",""
"demure","tm-e-u-r","","","",""
"demurrage","tm-u-r-j","","","",""
"den","d-e-n","","","",""
"denature","tn-a-t-r","","","",""
"denim","tn-e-m","","","",""
"denizen","tn-e-s2-e-n","","","",""
"Denmark","tn-m-a-r-k","","","",""
"denominate","tn-o-mn-a-t","","","",""
"denomination","tn-o-mn-sh","","","",""
"denounce","tn-n-s","","","",""
"dense","tn-s","","","",""
"density","tn-/-s","","","",""
"dent","tn-t","","","",""
"dentist","tn-t-e-s","","","",""
"dentistry","tn-t-e-s-r-e","","","",""
"Denver","tn-v","","","",""
"Denver ","df","","","",""
"deny","tn-i","","","",""
"deodorize","d-o-d-e-r-i-s","","","",""
"department","/-d","","","",""
"Department of Agriculture","d-ya","","","",""
"departure","d-p-t-r","","","",""
"depend","d-jnt","","","",""
"depict","d-p-k","","","",""
"deplore","d-pl-r","","","",""
"deponent","d-p-o-n","","","",""
"deport","d-p-o-t","","","",""
"depose","d-p-o","","","",""
"deposes","d-p-o-s","","","",""
"deposit","d-p-o-s","","","",""
"depositary","d-p-o-s-/-r-e","","","",""
"depository","d-p-o-s-/-r-e","","","",""
"depot","d-p-o","","","",""
"deprecate","d-p-r-e-k","","","",""
"depressant","d-p-r-e-s2-nt","","","",""
"deprive","d-p-r-i","","","",""
"depute","d-p-u","","","",""
"deride","d-r-i","","","",""
"derivative","d-r-e-v","","","",""
"derive","d-r-i","","","",""
"derogative","d-r-o-g-v","","","",""
"Des Moines","tm-o-e","","","",""
"descend","d-s2-e-n","","","",""
"descendant","d-s2-e-n-tn","","","",""
"descent","d-s2-e-nt","","","",""
"describe","d-s2-k-r","","","",""
"description","d-s2-k-r-sh","","","",""
"descriptive","d-s2-k-r-v","","","",""
"desecrate","d-s2-k-r-a","","","",""
"desert","d-s2-e2-t","","","",""
"desertion","d-s2-e-s2h","","","",""
"deserve","d-s2-e-v","","","",""
"deserved","d-s2-e-v-d","","","",""
"design","d-s2-i-n","","","",""
"designate","d-s2-e-g","","","",""
"desirable","d-s-b","","","",""
"desire","d-s","","","",""
"desired","d-s-/-t","","","",""
"desires","d-s-s","","","",""
"desirous","d-s2-u-s","","","",""
"desist","d-ss","","","",""
"desk","d-e-s2-k","","","",""
"desperate","d-s-p-r-a","","","",""
"despicable","d-s-p-k-b","","","",""
"despond","d-s-jnt","","","",""
"despot","d-s-p-o-t","","","",""
"despotic","d-s-p-/-a","","","",""
"dessert","d-s2-e2-t","","","",""
"destination","d-s2-tn-sh","","","",""
"destined","d-s2-tn-d","","","",""
"destitution","d-s2-t-e-t-sh","","","",""
"destroy","d-s-/-o-e","","","",""
"destroyed","d-s-/-o-e-d","","","",""
"destruction","d-s-/-k-sh","","","",""
"desuetude","d-s-w-e-t-u","","","",""
"desultory","d-s2-u-/-r-e","","","",""
"detail","td-a2","","","",""
"detailed","td-a-ld","","","",""
"details","td-a-l-s","","","",""
"detain","td-tn","","","",""
"detect","td-e-k","","","",""
"detective","td-e-k-v","","","",""
"detention","td-tn-sh","","","",""
"deter","^-d","","","",""
"deteriorate","d-/-o-r-a","","","",""
"determine","e2-mn","","","",""
"deterrent","d-/-nt","","","",""
"detest","td-e-s","","","",""
"detonation","td-o-n-sh","","","",""
"detour","td-u-r","","","",""
"detract","d-/-k","","","",""
"detriment","d-/-m","","","",""
"Detroit","d-/-o-e","","","",""
"devastate","df-a-s2-t-a","","","",""
"develop","dfl","","","",""
"development","dfl-m","","","",""
"device","df-i-s","","","",""
"devil","dfl","","","",""
"devise","df-i-s","","","",""
"devoid","df-o-e","","","",""
"devolve","df-o-l","","","",""
"devote","df-o-t","","","",""
"devoted","df-td","","","",""
"dewy","d-u-e","","","",""
"dexterity","d-e-x-/-r","","","",""
"diabetes","d-i-b-t-e-s","","","",""
"diacritical","d-i-k-r-/-y-a","","","",""
"diadem","d-i-tm","","","",""
"diaeresis","d-i-r-ss","","","",""
"diagonal","d-i-g","","","",""
"diameter","d-i-m-e-t-e2","","","",""
"diamond","d-i-mn","","","",""
"diapason","d-i-p-a-s2-n","","","",""
"dicta","d-e-k-t-a","","","",""
"dictate","d-e-k-t-a","","","",""
"dictator","d-e-k-t-a-/-r","","","",""
"dictatorially","d-e-k-t-a-/-r-ye","","","",""
"dictum","d-e-k-tm","","","",""
"did","td","","","",""
"did not","td-e-n","","","",""
"did you","td-u","","","",""
"didactic","td-a-k-t-e-k","","","",""
"die","d-i","","","",""
"died","d-i-d","","","",""
"differ","df","","","",""
"difference","df","","","",""
"different","df","","","",""
"differential","df-n-sh","","","",""
"differently","df-e","","","",""
"difficult","df-k","","","",""
"difficulty","df-k","","","",""
"diffident","df-tn","","","",""
"diffuse","df-e-u","","","",""
"dig","d-e-g","","","",""
"digest","d-j-e-s","","","",""
"digit","d-e-j-t","","","",""
"dignified","d-e-g-n-f-/-t","","","",""
"dignity","d-e-g-/-nt","","","",""
"dilapidate","d-e-l-a-p","","","",""
"dilatory","d-e-l-a-t-r-e","","","",""
"diligence","d-e-l-e-j","","","",""
"diligent","d-e-l-e-jnt","","","",""
"dill","d-e-l","","","",""
"dilution","d-e-l-sh","","","",""
"dilution ","d-l-sh","","","",""
"dim","d-e-m","","","",""
"dimension","tm-e-n-sh","","","",""
"diminish","tm-e-n-sh","","","",""
"diminutive","tm-e-n-e-u","","","",""
"dimity","d-/-m-t","","","",""
"dimple","tm-pl","","","",""
"din","d-e-n","","","",""
"dine","d-i-n","","","",""
"dined","d-i-nt","","","",""
"dingy","tn-j-e","","","",""
"dinner","tn-r","","","",""
"dint","d-e-nt","","","",""
"dint ","tn-t","","","",""
"diocese","d-ia-ss","","","",""
"dioxide","d-o-s2-i-d","","","",""
"diphtheria","df-th-e-r-ea","","","",""
"diphthong","df-th-o-ng","","","",""
"diploma","d-pl-o-m-a","","","",""
"dipsomania","d-e-p-s2-o-mn-ea","","","",""
"direct","d-r-k","","","",""
"directed","d-r-k-t","","","",""
"direction","d-r-k-sh","","","",""
"director","d-r-k-/-r","","","",""
"director ","d-r","","","",""
"directorate","d-r-k-/-r-a","","","",""
"dirigible","d-e-r-e-j","","","",""
"dirty","d-e2-t-e","","","",""
"disable","d-s-a-b","","","",""
"disadvantage","d-s2-a-v","","","",""
"disagree","dya","","","",""
"disagreement","dya-m","","","",""
"disallow","d-s-a-l","","","",""
"disappoint","d-o-e","","","",""
"disappointed","d-o-e-/-t","","","",""
"disappointment","d-o-e-m","","","",""
"disaster","d-ss2-t-e2","","","",""
"disbursement","d-s-br-s2-m","","","",""
"discernment","d-s2-e2-mn","","","",""
"discharge","d-s-ch-j","","","",""
"disciple","d-s-i-p","","","",""
"discipline","d-s-pl-e-n","","","",""
"discolor","d-s2-k-u-l","","","",""
"disconnected","d-s2-k-e-k-t","","","",""
"disconsolate","d-s2-k-s2-o-l-a","","","",""
"discontinue","d-s2-k-tn-u","","","",""
"discord","d-s2-k-o-d","","","",""
"discordant","d-s2-k-o-tn","","","",""
"discount","d-e-s","","","",""
"discountenance","d-s2-k-tn-a-n-s","","","",""
"discounts","d-e-s-s","","","",""
"discouraged","d-s2-k-r-j-d","","","",""
"discourse","d-s2-k-r-s","","","",""
"discover","d-s2-k-v","","","",""
"discrepancy","d-s2-k-r-e-p","","","",""
"discretion","d-s2-k-r-e-sh","","","",""
"discriminate","d-s2-k-r-e-mn-a-t","","","",""
"discuss","d-s2-k","","","",""
"discussed","d-s2-k-/-t","","","",""
"discussion","d-s2-k-sh","","","",""
"disease","d-s2-e-s2","","","",""
"disengagement","d-s2-n-g-a-m","","","",""
"disfeature","d-s2-f-e-t-r","","","",""
"disfranchise","d-s2-fr-a-n-ch","","","",""
"disgrace","d-s2-g-r-a-s","","","",""
"disgusted","d-s2-g-u-s-/-t","","","",""
"dishabille","d-s-a-b-e-l","","","",""
"dishes","d-e-sh-s","","","",""
"dishevel","d-sh-e-v","","","",""
"dishonestly","d-s2-o-n-e-s-e","","","",""
"dishonesty","d-s2-o-n-e-s-e","","","",""
"disillusion","d-s-e-l-sh","","","",""
"disincline","d-s-e-/-n","","","",""
"disinfectant","d-s2-n-f-e-k-nt","","","",""
"disjunction","d-s-j-nk","","","",""
"disjunctive","d-s-j-nk","","","",""
"dislike","d-s-l-a","","","",""
"dismal","d-s2-m-l","","","",""
"dismantle","d-s2-mn-t-l","","","",""
"dismount","d-s2-mn-t","","","",""
"disobedient","d-s2-o-b-tn-t","","","",""
"disoblige","d-s2-o-bl","","","",""
"disorderly","d-s2-o-d-e","","","",""
"dispair","d-s-p-a-r","","","",""
"disparate","d-s-p-a-r-a","","","",""
"disparity","d-s-p-/-r","","","",""
"dispassionate","d-s-p-a-sh-a-t","","","",""
"dispatch","d-s-p-a-ch","","","",""
"dispense","d-s-p-n-s","","","",""
"dispersion","d-s-p-r-sh","","","",""
"display","d-s-pl-a","","","",""
"disport","d-s-p-o-t","","","",""
"dispose","d-s-p-o","","","",""
"disposition","d-s-p-o-sh","","","",""
"disproportion","d-s-p-r","","","",""
"disproportionate","d-s-p-r","","","",""
"disprove","d-s-p-r-v","","","",""
"disputatious","d-s-p-u-sh-u-s","","","",""
"dispute","d-s-p-u","","","",""
"disrupt","d-s-r-p","","","",""
"dissect","d-s2-e-k","","","",""
"dissemble","d-s2-e-m","","","",""
"dissent","d-s2-e-nt","","","",""
"dissertation","d-s2-e2-t-n","","","",""
"dissidence","d-s2-e-tn-s","","","",""
"dissipate","d-s-e-p-a","","","",""
"dissociate","d-s2-o-sh-t","","","",""
"dissoluble","d-s2-o-l-b","","","",""
"dissolution","d-s2-o-l-sh","","","",""
"dissonant","d-s2-o-n-a-nt","","","",""
"distance","d-s2-tn-s","","","",""
"distant","d-s2-tn-t","","","",""
"distend","d-s2-tn-d","","","",""
"distension","d-s2-tn-sh","","","",""
"distinct","d-s2-t","","","",""
"distinction","d-s2-t-sh","","","",""
"distinguish","d-s2-t","","","",""
"distinguished","d-s2-t-/-t","","","",""
"distort","d-s2-t-o-t","","","",""
"distract","d-s-/-k","","","",""
"distraction","d-s-/-k-sh","","","",""
"distrain","d-s-/-n","","","",""
"distraught","^-d-s-/-t","","","",""
"distress","d-s-/-s","","","",""
"distribute","d-s-/-b","","","",""
"distribution","d-s-/-b-sh","","","",""
"district","d-s-/-k","","","",""
"District of Columbia","d-s2-k-o-l","","","",""
"disturb","d-s2-t-b","","","",""
"disuse","d-s2-e-u","","","",""
"ditto","td-o","","","",""
"ditty","td-e","","","",""
"diurnal","d-ia-n-l","","","",""
"divagate","d-i-v-g","","","",""
"divan","d-i-v-a-n","","","",""
"diverge","df-e-j","","","",""
"divergence","df-e-j","","","",""
"divergent","df-e-jnt","","","",""
"divers","d-i-v-r-s","","","",""
"diverse","df-e-s","","","",""
"divert","df-e2-t","","","",""
"divest","df-e-s","","","",""
"divide","df-i-d","","","",""
"dividend","df-tn","","","",""
"divination","df-e-n-sh","","","",""
"divine","df-i-n","","","",""
"divined","df-i-nt","","","",""
"divines","df-i-n-s","","","",""
"divinity","df-/-nt","","","",""
"divisble","df-e-s-b","","","",""
"division","df-e-sh","","","",""
"divorce","df-o-s","","","",""
"divulge","dfl-j","","","",""
